1a,2.25,1.10,84.50
1,6.25,3.10,200.25
2,6.75,3.35,217.75
3,7.50,3.75,244.25
4,8.25,4.10,263.00
5,9.25,4.60,291.50
6,10.00,5.00,318.00
7,10.50,5.25,336.50
8,11.50,5.75,363.00
9,12.00,6.00,379.50
10,12.50,6.25,398.25
interzone 1,2.75,1.35,90.25
interzone 2,3.25,1.60,110.25
interzone 3,3.50,1.75,119.75
interzone 4,4.00,2.00,130.25
interzone 5,4.50,2.25,148.00
interzone 6,5.00,2.50,167.00
interzone 7,5.50,2.75,183.75
interzone 8,6.00,3.00,202.75
interzone 9,6.50,3.25,221.50
interzone 10,7.00,3.50,240.50
